t_ms	bot_id	team	code	changed_slots
0	bot-25	alpha	D00r--000	initial
0	bot-28	bravo	P00r-4410	initial
0	bot-30	bravo	P00r-4320	initial
0	bot-33	alpha	D00r--000	initial
0	bot-35	alpha	D00r--000	initial
0	bot-36	bravo	P00r-3420	initial
0	bot-39	alpha	D00m--000	initial
0	bot-41	alpha	D00r--000	initial
0	bot-42	bravo	D00r--000	initial
0	bot-43	bravo	D00r--000	initial
0	bot-44	bravo	D00r--000	initial
0	bot-46	alpha	D00r--000	initial
0	bot-47	bravo	D00m--0A0	initial
0	bot-48	bravo	D00r--000	initial
0	bot-49	alpha	D00m--000	initial
0	bot-50	alpha	D00r--000	initial
0	bot-51	bravo	U00r-4310	initial
0	bot-52	alpha	D00r--000	initial
0	bot-53	bravo	D00r--000	initial
0	bot-54	alpha	D00r--000	initial
0	bot-55	bravo	D00m--000	initial
0	bot-56	alpha	D00m--000	initial
0	bot-57	alpha	D00r--000	initial
0	bot-58	alpha	D00r--000	initial
0	bot-59	alpha	U00r-3410	initial
0	bot-60	alpha	S00m-2330	initial
0	bot-61	bravo	D00r--000	initial
0	bot-62	alpha	S00r-4320	initial
0	bot-63	bravo	D00r--000	initial
0	bot-64	alpha	S00r-2420	initial
0	bot-65	alpha	D00r--000	initial
0	bot-66	alpha	U00m-2430	initial
0	bot-67	alpha	U00r-4410	initial
0	bot-68	bravo	D00r--000	initial
0	bot-69	alpha	S00r-4320	initial
0	bot-70	bravo	P00m-4420	initial
0	bot-71	alpha	S00r-4410	initial
0	bot-72	bravo	P00r-4410	initial
0	bot-73	bravo	P00r-4410	initial
0	bot-74	bravo	P00r-4410	initial
462	bot-62	alpha	P00r-4320	state
741	bot-69	alpha	P00r-4320	state
815	bot-60	alpha	P00m-2330	state
815	bot-64	alpha	P00r-2420	state
5485	bot-62	alpha	S00r-4320	state
5751	bot-69	alpha	S00r-4320	state
5820	bot-60	alpha	S00m-2330	state
5820	bot-64	alpha	S00r-2420	state
10209	bot-71	alpha	P00r-4410	state
15219	bot-71	alpha	S00r-4410	state
17487	bot-62	alpha	P00r-4320	state
17759	bot-69	alpha	P00r-4320	state
17830	bot-60	alpha	P00m-2330	state
17830	bot-64	alpha	P00r-2420	state
22517	bot-62	alpha	S00r-4320	state
22795	bot-69	alpha	S00r-4320	state
22844	bot-60	alpha	S00m-2330	state
22844	bot-64	alpha	S00r-2420	state
27221	bot-71	alpha	P00r-4410	state
32230	bot-71	alpha	S00r-4410	state
34523	bot-62	alpha	P00r-4320	state
34810	bot-69	alpha	P00r-4320	state
34855	bot-60	alpha	P00m-2330	state
34855	bot-64	alpha	P00r-2420	state
39533	bot-62	alpha	S00r-4320	state
39815	bot-69	alpha	S00r-4320	state
39868	bot-60	alpha	S00m-2330	state
39868	bot-64	alpha	S00r-2420	state
44243	bot-71	alpha	P00r-4410	state
49258	bot-71	alpha	S00r-4410	state
51543	bot-62	alpha	P00r-4320	state
51826	bot-69	alpha	P00r-4320	state
51878	bot-60	alpha	P00m-2330	state
51878	bot-64	alpha	P00r-2420	state
56546	bot-62	alpha	S00r-4320	state
56837	bot-69	alpha	S00r-4320	state
56884	bot-60	alpha	S00m-2330	state
56884	bot-64	alpha	S00r-2420	state
61259	bot-71	alpha	P00r-4410	state
66275	bot-71	alpha	S00r-4410	state
68547	bot-62	alpha	P00r-4320	state
68842	bot-69	alpha	P00r-4320	state
68885	bot-60	alpha	P00m-2330	state
68885	bot-64	alpha	P00r-2420	state
73558	bot-62	alpha	S00r-4320	state
73850	bot-69	alpha	S00r-4320	state
73904	bot-60	alpha	S00m-2330	state
73904	bot-64	alpha	S00r-2420	state
78293	bot-71	alpha	P00r-4410	state
83323	bot-71	alpha	S00r-4410	state
85574	bot-62	alpha	P00r-4320	state
85855	bot-69	alpha	P00r-4320	state
85918	bot-60	alpha	P00m-2330	state
85918	bot-64	alpha	P00r-2420	state
90576	bot-62	alpha	S00r-4320	state
90858	bot-69	alpha	S00r-4320	state
90934	bot-60	alpha	S00m-2330	state
90934	bot-64	alpha	S00r-2420	state
95336	bot-71	alpha	P00r-4410	state
100343	bot-71	alpha	S00r-4410	state
102578	bot-62	alpha	P00r-4320	state
102873	bot-69	alpha	P00r-4320	state
102950	bot-60	alpha	P00m-2330	state
102950	bot-64	alpha	P00r-2420	state
107586	bot-62	alpha	S00r-4320	state
107874	bot-69	alpha	S00r-4320	state
107958	bot-60	alpha	S00m-2330	state
107958	bot-64	alpha	S00r-2420	state
112344	bot-71	alpha	P00r-4410	state
117357	bot-71	alpha	S00r-4410	state
119607	bot-62	alpha	P00r-4320	state
119876	bot-69	alpha	P00r-4320	state
119971	bot-60	alpha	P00m-2330	state
119971	bot-64	alpha	P00r-2420	state
124611	bot-62	alpha	S00r-4320	state
124890	bot-69	alpha	S00r-4320	state
124983	bot-60	alpha	S00m-2330	state
124983	bot-64	alpha	S00r-2420	state
129375	bot-71	alpha	P00r-4410	state
134398	bot-71	alpha	S00r-4410	state
136639	bot-62	alpha	P00r-4320	state
136899	bot-69	alpha	P00r-4320	state
136990	bot-60	alpha	P00m-2330	state
136990	bot-64	alpha	P00r-2420	state
141662	bot-62	alpha	S00r-4320	state
141901	bot-69	alpha	S00r-4320	state
142011	bot-60	alpha	S00m-2330	state
142011	bot-64	alpha	S00r-2420	state
146404	bot-71	alpha	P00r-4410	state
151413	bot-71	alpha	S00r-4410	state
153667	bot-62	alpha	P00r-4320	state
153906	bot-69	alpha	P00r-4320	state
154014	bot-60	alpha	P00m-2330	state
154014	bot-64	alpha	P00r-2420	state
158677	bot-62	alpha	S00r-4320	state
158907	bot-69	alpha	S00r-4320	state
159018	bot-60	alpha	S00m-2330	state
159018	bot-64	alpha	S00r-2420	state
163433	bot-71	alpha	P00r-4410	state
168437	bot-71	alpha	S00r-4410	state
170682	bot-62	alpha	P00r-4320	state
170922	bot-69	alpha	P00r-4320	state
171019	bot-60	alpha	P00m-2330	state
171019	bot-64	alpha	P00r-2420	state
175703	bot-62	alpha	S00r-4320	state
175932	bot-69	alpha	S00r-4320	state
176021	bot-60	alpha	S00m-2330	state
176021	bot-64	alpha	S00r-2420	state
180444	bot-71	alpha	P00r-4410	state
185445	bot-71	alpha	S00r-4410	state
187707	bot-62	alpha	P00r-4320	state
187939	bot-69	alpha	P00r-4320	state
188027	bot-60	alpha	P00m-2330	state
188027	bot-64	alpha	P00r-2420	state
192724	bot-62	alpha	S00r-4320	state
192954	bot-69	alpha	S00r-4320	state
193028	bot-60	alpha	S00m-2330	state
193028	bot-64	alpha	S00r-2420	state
197454	bot-71	alpha	P00r-4410	state
202455	bot-71	alpha	S00r-4410	state
204751	bot-62	alpha	P00r-4320	state
204956	bot-69	alpha	P00r-4320	state
205051	bot-60	alpha	P00m-2330	state
205051	bot-64	alpha	P00r-2420	state
209761	bot-62	alpha	S00r-4320	state
209957	bot-69	alpha	S00r-4320	state
210068	bot-60	alpha	S00m-2330	state
210068	bot-64	alpha	S00r-2420	state
214459	bot-71	alpha	P00r-4410	state
219474	bot-71	alpha	S00r-4410	state
221778	bot-62	alpha	P00r-4320	state
221970	bot-69	alpha	P00r-4320	state
222072	bot-60	alpha	P00m-2330	state
222072	bot-64	alpha	P00r-2420	state
226778	bot-62	alpha	S00r-4320	state
226976	bot-69	alpha	S00r-4320	state
227086	bot-60	alpha	S00m-2330	state
227086	bot-64	alpha	S00r-2420	state
231491	bot-71	alpha	P00r-4410	state
